Date/Time,MeetingRmG04Temp,AC_G1TempSP.Hi,AC_G1Status,AC_G1TempSP.Lo,G_1 AC Unit Occ
3/08/2017 11:15:00 PM, 19.0, 23,Off, 21,Off
3/08/2017 11:00:00 PM, 19.0, 23,Off, 21,Off
3/08/2017 10:45:00 PM, 19.0, 23,Off, 21,Off
3/08/2017 10:30:00 PM, 19.0, 23,Off, 21,Off
3/08/2017 10:15:00 PM, 19.0, 23,Off, 21,Off
3/08/2017 10:00:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 9:45:00 PM, 19.0, 23,Off, 21,Off
3/08/2017 9:30:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 9:15:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 9:00:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 8:45:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 8:30:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 8:15:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 8:00:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 7:45:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 7:30:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 7:15:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 7:00:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 6:45:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 6:30:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 6:15:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 6:00:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 5:45:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 5:30:00 PM, 19.5, 23,Off, 21,Off
3/08/2017 5:15:00 PM, 19.5, 23,Off, 21,On
3/08/2017 5:00:00 PM, 19.5, 23,Off, 21,On
3/08/2017 4:45:00 PM, 19.5, 23,Off, 21,On
3/08/2017 4:30:00 PM, 19.5, 23,Off, 21,On
3/08/2017 4:15:00 PM, 19.5, 23,Off, 21,On
3/08/2017 4:00:00 PM, 19.5, 23,Off, 21,On
3/08/2017 3:45:00 PM, 19.5, 23,Off, 21,On
3/08/2017 3:30:00 PM, 19.5, 23,Off, 21,On
3/08/2017 3:15:00 PM, 19.5, 23,Off, 21,On
3/08/2017 3:00:00 PM, 20.0, 23,Off, 21,On
3/08/2017 2:45:00 PM, 20.0, 23,Off, 21,On
3/08/2017 2:30:00 PM, 20.0, 23,Off, 21,Off
3/08/2017 2:15:00 PM, 20.0, 23,Off, 21,On
3/08/2017 2:00:00 PM, 20.0, 23,Off, 21,On
3/08/2017 1:45:00 PM, 20.0, 23,Off, 21,On
3/08/2017 1:30:00 PM, 20.0, 23,Off, 21,On
3/08/2017 1:15:00 PM, 20.0, 23,Off, 21,On
3/08/2017 1:00:00 PM, 20.0, 23,Off, 21,On
3/08/2017 12:45:00 PM, 20.5, 23,Off, 21,On
3/08/2017 12:30:00 PM, 20.5, 23,Off, 21,On
3/08/2017 12:15:00 PM, 20.5, 23,Off, 21,On
3/08/2017 12:00:00 PM, 20.5, 23,Off, 21,On
3/08/2017 11:45:00 AM, 20.0, 23,Off, 21,On
3/08/2017 11:30:00 AM, 20.0, 23,Off, 21,On
3/08/2017 11:15:00 AM, 20.0, 23,Off, 21,On
3/08/2017 11:00:00 AM, 20.0, 23,Off, 21,On
3/08/2017 10:45:00 AM, 20.0, 23,Off, 21,On
3/08/2017 10:30:00 AM, 20.5, 23,Off, 21,On
3/08/2017 10:15:00 AM, 20.5, 23,Off, 21,On
3/08/2017 10:00:00 AM, 20.5, 23,Off, 21,On
3/08/2017 9:45:00 AM, 20.0, 23,Off, 21,On
3/08/2017 9:30:00 AM, 20.0, 23,Off, 21,On
3/08/2017 9:15:00 AM, 20.5, 23,Off, 21,On
3/08/2017 9:00:00 AM, 20.5, 23,Off, 21,On
3/08/2017 8:45:00 AM, 19.5, 23,Off, 21,Off
3/08/2017 8:30:00 AM, 20.5, 23,Off, 21,Off
3/08/2017 8:15:00 AM, 21.0, 23,Off, 21,On
3/08/2017 8:00:00 AM, 20.0, 23,Off, 21,On
3/08/2017 7:45:00 AM, 20.0, 23,Off, 21,On
3/08/2017 7:30:00 AM, 19.0, 23,Off, 21,On
3/08/2017 7:15:00 AM, 17.5, 23,Off, 21,On
3/08/2017 7:00:00 AM, 16.5, 23,Off, 21,On
3/08/2017 6:45:00 AM, 17.0, 23,Off, 21,Off
3/08/2017 6:30:00 AM, 17.0, 23,Off, 21,Off
3/08/2017 6:15:00 AM, 17.0, 23,Off, 21,Off
3/08/2017 6:00:00 AM, 17.0, 23,Off, 21,Off
3/08/2017 5:45:00 AM, 17.5, 23,Off, 21,Off
3/08/2017 5:30:00 AM, 17.5, 23,Off, 21,Off
3/08/2017 5:15:00 AM, 17.5, 23,Off, 21,On
3/08/2017 5:00:00 AM, 17.5, 23,Off, 21,Off
3/08/2017 4:45:00 AM, 17.5, 23,Off, 21,Off
3/08/2017 4:30:00 AM, 17.5, 23,Off, 21,Off
3/08/2017 4:15:00 AM, 17.5, 23,Off, 21,Off
3/08/2017 4:00:00 AM, 18.0, 23,Off, 21,Off
3/08/2017 3:45:00 AM, 18.0, 23,Off, 21,Off
3/08/2017 3:30:00 AM, 18.0, 23,Off, 21,Off
3/08/2017 3:15:00 AM, 18.0, 23,Off, 21,Off
3/08/2017 3:00:00 AM, 18.0, 23,Off, 21,Off
3/08/2017 2:45:00 AM, 18.0, 23,Off, 21,Off
3/08/2017 2:30:00 AM, 18.5, 23,Off, 21,Off
3/08/2017 2:15:00 AM, 18.5, 23,Off, 21,Off
3/08/2017 2:00:00 AM, 18.5, 23,Off, 21,Off
3/08/2017 1:45:00 AM, 19.0, 23,Off, 21,Off
3/08/2017 1:30:00 AM, 18.5, 23,Off, 21,Off
3/08/2017 1:15:00 AM, 19.0, 23,Off, 21,Off
3/08/2017 1:00:00 AM, 19.0, 23,Off, 21,Off
3/08/2017 12:45:00 AM, 19.0, 23,Off, 21,Off
3/08/2017 12:30:00 AM, 19.5, 23,Off, 21,Off
3/08/2017 12:15:00 AM, 19.5, 23,Off, 21,Off
3/08/2017 12:00:00 AM, 19.5, 23,Off, 21,Off
2/08/2017 11:45:00 PM, 19.5, 23,Off, 21,Off
2/08/2017 11:30:00 PM, 19.5, 23,Off, 21,Off
2/08/2017 11:15:00 PM, 19.5, 23,Off, 21,Off
2/08/2017 11:00:00 PM, 20.0, 23,Off, 21,Off
2/08/2017 10:45:00 PM, 20.0, 23,Off, 21,Off
2/08/2017 10:30:00 PM, 20.0, 23,Off, 21,Off
2/08/2017 10:15:00 PM, 20.0, 23,Off, 21,Off
2/08/2017 10:00:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 9:45:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 9:30:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 9:15:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 9:00:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 8:45:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 8:30:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 8:15:00 PM, 20.5, 23,Off, 21,Off
2/08/2017 8:00:00 PM, 21.0, 23,Off, 21,On
2/08/2017 7:45:00 PM, 21.0, 23,Off, 21,Off
2/08/2017 7:30:00 PM, 21.0, 23,Off, 21,On
2/08/2017 7:15:00 PM, 21.0, 23,Off, 21,Off
2/08/2017 7:00:00 PM, 21.0, 23,Off, 21,On
2/08/2017 6:45:00 PM, 21.0, 23,Off, 21,Off
2/08/2017 6:30:00 PM, 21.0, 23,Off, 21,On
2/08/2017 6:15:00 PM, 21.0, 23,Off, 21,On
2/08/2017 6:00:00 PM, 20.5, 23,Off, 21,On
2/08/2017 5:45:00 PM, 20.5, 23,Off, 21,On
2/08/2017 5:30:00 PM, 21.0, 23,Off, 21,On
2/08/2017 5:15:00 PM, 21.0, 23,Off, 21,Off
2/08/2017 5:00:00 PM, 21.0, 23,Off, 21,On
2/08/2017 4:45:00 PM, 21.5, 23,Off, 21,On
2/08/2017 4:30:00 PM, 21.5, 23,Off, 21,On
2/08/2017 4:15:00 PM, 22.0, 23,Off, 21,On
2/08/2017 4:00:00 PM, 22.0, 23,Off, 21,On
2/08/2017 3:45:00 PM, 22.5, 23,Off, 21,On
2/08/2017 3:30:00 PM, 23.0, 23,Off, 21,On
2/08/2017 3:15:00 PM, 23.0, 23,Off, 21,On
2/08/2017 3:00:00 PM, 23.0, 23,Off, 21,On
2/08/2017 2:45:00 PM, 23.0, 23,Off, 21,On
2/08/2017 2:30:00 PM, 22.5, 23,Off, 21,On
2/08/2017 2:15:00 PM, 22.5, 23,Off, 21,On
2/08/2017 2:00:00 PM, 22.5, 23,Off, 21,On
2/08/2017 1:45:00 PM, 22.5, 23,Off, 21,On
2/08/2017 1:30:00 PM, 22.5, 23,Off, 21,On
2/08/2017 1:15:00 PM, 22.0, 23,Off, 21,On
2/08/2017 1:00:00 PM, 21.5, 23,Off, 21,On
2/08/2017 12:45:00 PM, 21.5, 23,Off, 21,On
2/08/2017 12:30:00 PM, 21.0, 23,Off, 21,On
2/08/2017 12:15:00 PM, 21.0, 23,Off, 21,On
2/08/2017 12:00:00 PM, 20.5, 23,Off, 21,On
2/08/2017 11:45:00 AM, 20.5, 23,Off, 21,On
2/08/2017 11:30:00 AM, 20.5, 23,Off, 21,On
2/08/2017 11:15:00 AM, 20.5, 23,Off, 21,On
2/08/2017 11:00:00 AM, 20.5, 23,Off, 21,On
2/08/2017 10:45:00 AM, 20.5, 23,Off, 21,On
2/08/2017 10:30:00 AM, 20.5, 23,Off, 21,On
2/08/2017 10:15:00 AM, 20.5, 23,Off, 21,On
2/08/2017 10:00:00 AM, 21.0, 23,Off, 21,On
2/08/2017 9:45:00 AM, 20.5, 23,Off, 21,On
2/08/2017 9:30:00 AM, 20.0, 23,Off, 21,On
2/08/2017 9:15:00 AM, 20.5, 23,Off, 21,Off
2/08/2017 9:00:00 AM, 20.5, 23,Off, 21,On
2/08/2017 8:45:00 AM, 19.5, 23,Off, 21,Off
2/08/2017 8:30:00 AM, 20.0, 23,Off, 21,Off
2/08/2017 8:15:00 AM, 21.0, 23,Off, 21,Off
2/08/2017 8:00:00 AM, 20.5, 23,Off, 21,On
2/08/2017 7:45:00 AM, 20.0, 23,Off, 21,On
2/08/2017 7:30:00 AM, 19.0, 23,Off, 21,On
2/08/2017 7:15:00 AM, 18.0, 23,Off, 21,On
2/08/2017 7:00:00 AM, 17.0, 23,Off, 21,On
2/08/2017 6:45:00 AM, 17.0, 23,Off, 21,Off
2/08/2017 6:30:00 AM, 17.0, 23,Off, 21,Off
2/08/2017 6:15:00 AM, 17.0, 23,Off, 21,Off
2/08/2017 6:00:00 AM, 17.0, 23,Off, 21,Off
2/08/2017 5:45:00 AM, 17.5, 23,Off, 21,Off
2/08/2017 5:30:00 AM, 17.5, 23,Off, 21,Off
2/08/2017 5:15:00 AM, 17.5, 23,Off, 21,Off
2/08/2017 5:00:00 AM, 18.0, 23,Off, 21,Off
2/08/2017 4:45:00 AM, 17.5, 23,Off, 21,Off
2/08/2017 4:30:00 AM, 18.0, 23,Off, 21,Off
2/08/2017 4:15:00 AM, 18.0, 23,Off, 21,On
2/08/2017 4:00:00 AM, 18.0, 23,Off, 21,Off
2/08/2017 3:45:00 AM, 18.0, 23,Off, 21,Off
2/08/2017 3:30:00 AM, 18.5, 23,Off, 21,Off
2/08/2017 3:15:00 AM, 18.5, 23,Off, 21,Off
2/08/2017 3:00:00 AM, 18.5, 23,Off, 21,Off
2/08/2017 2:45:00 AM, 18.5, 23,Off, 21,Off
2/08/2017 2:30:00 AM, 18.5, 23,Off, 21,Off
2/08/2017 2:15:00 AM, 18.5, 23,Off, 21,Off
2/08/2017 2:00:00 AM, 18.5, 23,Off, 21,Off
2/08/2017 1:45:00 AM, 19.0, 23,Off, 21,Off
2/08/2017 1:30:00 AM, 19.0, 23,Off, 21,Off
2/08/2017 1:15:00 AM, 19.0, 23,Off, 21,Off
2/08/2017 1:00:00 AM, 19.0, 23,Off, 21,Off
2/08/2017 12:45:00 AM, 19.0, 23,Off, 21,Off
2/08/2017 12:30:00 AM, 19.5, 23,Off, 21,Off
2/08/2017 12:15:00 AM, 19.5, 23,Off, 21,Off
2/08/2017 12:00:00 AM, 19.5, 23,Off, 21,Off
1/08/2017 11:45:00 PM, 19.5, 23,Off, 21,Off
1/08/2017 11:30:00 PM, 19.5, 23,Off, 21,Off
1/08/2017 11:15:00 PM, 19.5, 23,Off, 21,Off
1/08/2017 11:00:00 PM, 20.0, 23,Off, 21,Off
1/08/2017 10:45:00 PM, 20.0, 23,Off, 21,Off
1/08/2017 10:30:00 PM, 20.0, 23,Off, 21,Off
1/08/2017 10:15:00 PM, 20.0, 23,Off, 21,Off
1/08/2017 10:00:00 PM, 20.0, 23,Off, 21,Off
1/08/2017 9:45:00 PM, 20.5, 23,Off, 21,Off
1/08/2017 9:30:00 PM, 20.5, 23,Off, 21,Off
1/08/2017 9:15:00 PM, 20.5, 23,Off, 21,Off
1/08/2017 9:00:00 PM, 20.5, 23,Off, 21,Off
1/08/2017 8:45:00 PM, 20.5, 23,Off, 21,Off
1/08/2017 8:30:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 8:15:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 8:00:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 7:45:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 7:30:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 7:15:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 7:00:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 6:45:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 6:30:00 PM, 21.0, 23,Off, 21,Off
1/08/2017 6:15:00 PM, 21.0, 23,Off, 21,On
1/08/2017 6:00:00 PM, 20.5, 23,Off, 21,Off
1/08/2017 5:45:00 PM, 21.0, 23,Off, 21,On
1/08/2017 5:30:00 PM, 21.0, 23,Off, 21,On
1/08/2017 5:15:00 PM, 21.5, 23,Off, 21,On
1/08/2017 5:00:00 PM, 21.5, 23,Off, 21,On
1/08/2017 4:45:00 PM, 22.0, 23,Off, 21,On
1/08/2017 4:30:00 PM, 22.5, 23,Off, 21,On
1/08/2017 4:15:00 PM, 23.0, 23,Off, 21,On
1/08/2017 4:00:00 PM, 23.0, 23,Off, 21,On
1/08/2017 3:45:00 PM, 23.5, 23,Off, 21,Off
1/08/2017 3:30:00 PM, 24.0, 23,Off, 21,On
1/08/2017 3:15:00 PM, 24.0, 23,Off, 21,On
1/08/2017 3:00:00 PM, 24.5, 23,Off, 21,On
1/08/2017 2:45:00 PM, 24.0, 23,Off, 21,On
1/08/2017 2:30:00 PM, 24.0, 23,Off, 21,On
1/08/2017 2:15:00 PM, 23.5, 23,Off, 21,On
1/08/2017 2:00:00 PM, 23.5, 23,Off, 21,On
1/08/2017 1:45:00 PM, 23.0, 23,Off, 21,On
1/08/2017 1:30:00 PM, 23.0, 23,Off, 21,On
1/08/2017 1:15:00 PM, 23.0, 23,Off, 21,On
1/08/2017 1:00:00 PM, 23.0, 23,Off, 21,On
1/08/2017 12:45:00 PM, 23.0, 23,Off, 21,On
1/08/2017 12:30:00 PM, 22.5, 23,Off, 21,On
1/08/2017 12:15:00 PM, 22.0, 23,Off, 21,On
1/08/2017 12:00:00 PM, 21.5, 23,Off, 21,On
1/08/2017 11:45:00 AM, 21.0, 23,Off, 21,On
1/08/2017 11:30:00 AM, 21.0, 23,Off, 21,On
1/08/2017 11:15:00 AM, 21.0, 23,Off, 21,On
1/08/2017 11:00:00 AM, 21.0, 23,Off, 21,On
1/08/2017 10:45:00 AM, 21.0, 23,Off, 21,On
1/08/2017 10:30:00 AM, 21.0, 23,Off, 21,On
1/08/2017 10:15:00 AM, 21.0, 23,Off, 21,On
1/08/2017 10:00:00 AM, 21.0, 23,Off, 21,On
1/08/2017 9:45:00 AM, 21.0, 23,Off, 21,On
1/08/2017 9:30:00 AM, 20.5, 23,Off, 21,Off
1/08/2017 9:15:00 AM, 20.0, 23,Off, 21,Off
1/08/2017 9:00:00 AM, 20.0, 23,Off, 21,Off
1/08/2017 8:45:00 AM, 20.0, 23,Off, 21,Off
1/08/2017 8:30:00 AM, 20.0, 23,Off, 21,Off
1/08/2017 8:15:00 AM, 20.0, 23,Off, 21,Off
1/08/2017 8:00:00 AM, 20.1, 23,Off, 21,On
1/08/2017 7:45:00 AM, 20.1, 23,Off, 21,On
1/08/2017 7:30:00 AM, 20.2, 23,Off, 21,On
1/08/2017 7:15:00 AM, 20.2, 23,Off, 21,On
1/08/2017 7:00:00 AM, 20.2, 23,Off, 21,On
1/08/2017 6:45:00 AM, 20.3, 23,Off, 21,Off
1/08/2017 6:30:00 AM, 20.3, 23,Off, 21,Off
1/08/2017 6:15:00 AM, 20.4, 23,Off, 21,Off
1/08/2017 6:00:00 AM, 20.4, 23,Off, 21,Off
1/08/2017 5:45:00 AM, 20.4, 23,Off, 21,Off
1/08/2017 5:30:00 AM, 20.5, 23,Off, 21,Off
1/08/2017 5:15:00 AM, 20.5, 23,Off, 21,Off
1/08/2017 5:00:00 AM, 20.5, 23,Off, 21,Off
1/08/2017 4:45:00 AM, 20.6, 23,Off, 21,On
1/08/2017 4:30:00 AM, 20.6, 23,Off, 21,Off
1/08/2017 4:15:00 AM, 20.7, 23,Off, 21,Off
1/08/2017 4:00:00 AM, 20.7, 23,Off, 21,Off
1/08/2017 3:45:00 AM, 20.7, 23,Off, 21,Off
1/08/2017 3:30:00 AM, 20.8, 23,Off, 21,Off
1/08/2017 3:15:00 AM, 20.8, 23,Off, 21,Off
1/08/2017 3:00:00 AM, 20.9, 23,Off, 21,Off
1/08/2017 2:45:00 AM, 20.9, 23,Off, 21,Off
1/08/2017 2:30:00 AM, 20.9, 23,Off, 21,Off
1/08/2017 2:15:00 AM, 21.0, 23,Off, 21,Off
1/08/2017 2:00:00 AM, 21.0, 23,Off, 21,Off
1/08/2017 1:45:00 AM, 21.1, 23,Off, 21,Off
1/08/2017 1:30:00 AM, 21.1, 23,Off, 21,Off
1/08/2017 1:15:00 AM, 21.1, 23,Off, 21,Off
1/08/2017 1:00:00 AM, 21.2, 23,Off, 21,Off
1/08/2017 12:45:00 AM, 21.2, 23,Off, 21,Off
1/08/2017 12:30:00 AM, 21.2, 23,Off, 21,Off
1/08/2017 12:15:00 AM, 21.3, 23,Off, 21,Off
1/08/2017 12:00:00 AM, 21.3, 23,Off, 21,Off
31/07/2017 11:45:00 PM, 21.4, 23,Off, 21,Off
31/07/2017 11:30:00 PM, 21.4, 23,Off, 21,Off
31/07/2017 11:15:00 PM, 21.4, 23,Off, 21,Off
31/07/2017 11:00:00 PM, 21.5, 23,Off, 21,Off
31/07/2017 10:45:00 PM, 21.5, 23,Off, 21,Off
31/07/2017 10:30:00 PM, 21.6, 23,Off, 21,Off
31/07/2017 10:15:00 PM, 21.6, 23,Off, 21,Off
31/07/2017 10:00:00 PM, 21.6, 23,Off, 21,Off
31/07/2017 9:45:00 PM, 21.7, 23,Off, 21,Off
31/07/2017 9:30:00 PM, 21.7, 23,Off, 21,Off
31/07/2017 9:15:00 PM, 21.8, 23,Off, 21,Off
31/07/2017 9:00:00 PM, 21.8, 23,Off, 21,Off
31/07/2017 8:45:00 PM, 21.8, 23,Off, 21,Off
31/07/2017 8:30:00 PM, 21.9, 23,Off, 21,Off
31/07/2017 8:15:00 PM, 21.9, 23,Off, 21,Off
31/07/2017 8:00:00 PM, 21.9, 23,Off, 21,Off
31/07/2017 7:45:00 PM, 22.0, 23,Off, 21,Off
31/07/2017 7:30:00 PM, 22.0, 23,Off, 21,Off
31/07/2017 7:15:00 PM, 22.1, 23,Off, 21,Off
31/07/2017 7:00:00 PM, 22.1, 23,Off, 21,Off
31/07/2017 6:45:00 PM, 22.1, 23,Off, 21,Off
31/07/2017 6:30:00 PM, 22.2, 23,Off, 21,Off
31/07/2017 6:15:00 PM, 22.2, 23,Off, 21,Off
31/07/2017 6:00:00 PM, 22.3, 23,Off, 21,On
31/07/2017 5:45:00 PM, 22.3, 23,Off, 21,Off
31/07/2017 5:30:00 PM, 22.3, 23,Off, 21,Off
31/07/2017 5:15:00 PM, 22.4, 23,Off, 21,Off
31/07/2017 5:00:00 PM, 22.4, 23,Off, 21,Off
31/07/2017 4:45:00 PM, 22.5, 23,Off, 21,On
31/07/2017 4:30:00 PM, 22.5, 23,Off, 21,On
31/07/2017 4:15:00 PM, 22.5, 23,Off, 21,On
31/07/2017 4:00:00 PM, 22.6, 23,Off, 21,On
31/07/2017 3:45:00 PM, 22.6, 23,Off, 21,On
31/07/2017 3:30:00 PM, 22.6, 23,Off, 21,On
31/07/2017 3:15:00 PM, 22.7, 23,Off, 21,On
31/07/2017 3:00:00 PM, 22.7, 23,Off, 21,On
31/07/2017 2:45:00 PM, 22.8, 23,Off, 21,On
31/07/2017 2:30:00 PM, 22.8, 23,Off, 21,On
31/07/2017 2:15:00 PM, 22.8, 23,Off, 21,On
31/07/2017 2:00:00 PM, 22.9, 23,Off, 21,On
31/07/2017 1:45:00 PM, 22.9, 23,Off, 21,On
31/07/2017 1:30:00 PM, 23.0, 23,Off, 21,On
31/07/2017 1:15:00 PM, 23.0, 23,Off, 21,On
31/07/2017 1:00:00 PM, 23.0, 23,Off, 21,On
31/07/2017 12:45:00 PM, 22.5, 23,Off, 21,On
31/07/2017 12:30:00 PM, 22.0, 23,Off, 21,On
31/07/2017 12:15:00 PM, 21.5, 23,Off, 21,On
31/07/2017 12:00:00 PM, 21.5, 23,Off, 21,On
31/07/2017 11:45:00 AM, 21.5, 23,Off, 21,On
31/07/2017 11:30:00 AM, 21.5, 23,Off, 21,On
31/07/2017 11:15:00 AM, 21.0, 23,Off, 21,On
31/07/2017 11:00:00 AM, 21.5, 23,Off, 21,On
31/07/2017 10:45:00 AM, 21.5, 23,Off, 21,On
31/07/2017 10:30:00 AM, 21.5, 23,Off, 21,On
31/07/2017 10:15:00 AM, 21.0, 23,Off, 21,On
31/07/2017 10:00:00 AM, 21.0, 23,Off, 21,On
31/07/2017 9:45:00 AM, 21.0, 23,Off, 21,On
31/07/2017 9:30:00 AM, 21.0, 23,Off, 21,Off
31/07/2017 9:15:00 AM, 21.0, 23,Off, 21,Off
31/07/2017 9:00:00 AM, 21.0, 23,Off, 21,Off
31/07/2017 8:45:00 AM, 20.5, 23,Off, 21,Off
31/07/2017 8:30:00 AM, 20.5, 23,Off, 21,Off
31/07/2017 8:15:00 AM, 20.5, 23,Off, 21,Off
31/07/2017 8:00:00 AM, 20.5, 23,Off, 21,Off
31/07/2017 7:45:00 AM, 21.0, 23,Off, 21,Off
31/07/2017 7:30:00 AM, 20.0, 23,Off, 21,On
31/07/2017 7:15:00 AM, 19.0, 23,Off, 21,On
31/07/2017 7:00:00 AM, 17.5, 23,Off, 21,On
31/07/2017 6:45:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 6:30:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 6:15:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 6:00:00 AM, 17.0, 23,Off, 21,Off
31/07/2017 5:45:00 AM, 17.0, 23,Off, 21,Off
31/07/2017 5:30:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 5:15:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 5:00:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 4:45:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 4:30:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 4:15:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 4:00:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 3:45:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 3:30:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 3:15:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 3:00:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 2:45:00 AM, 18.0, 23,Off, 21,Off
31/07/2017 2:30:00 AM, 18.0, 23,Off, 21,Off
31/07/2017 2:15:00 AM, 17.5, 23,Off, 21,Off
31/07/2017 2:00:00 AM, 18.0, 23,Off, 21,Off
31/07/2017 1:45:00 AM, 18.0, 23,Off, 21,Off
31/07/2017 1:30:00 AM, 18.0, 23,Off, 21,Off
31/07/2017 1:15:00 AM, 18.0, 23,Off, 21,Off
31/07/2017 1:00:00 AM, 18.5, 23,Off, 21,Off
31/07/2017 12:45:00 AM, 18.0, 23,Off, 21,Off
31/07/2017 12:30:00 AM, 18.5, 23,Off, 21,Off
31/07/2017 12:15:00 AM, 18.5, 23,Off, 21,Off
31/07/2017 12:00:00 AM, 18.5, 23,Off, 21,Off
30/07/2017 11:45:00 PM, 18.5, 23,Off, 21,Off
30/07/2017 11:30:00 PM, 18.5, 23,Off, 21,Off
30/07/2017 11:15:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 11:00:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 10:45:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 10:30:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 10:15:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 10:00:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 9:45:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 9:30:00 PM, 19.0, 23,Off, 21,Off
30/07/2017 9:15:00 PM, 19.5, 23,Off, 21,Off
30/07/2017 9:00:00 PM, 19.5, 23,Off, 21,Off
30/07/2017 8:45:00 PM, 19.5, 23,Off, 21,Off
30/07/2017 8:30:00 PM, 19.5, 23,Off, 21,Off
30/07/2017 8:15:00 PM, 19.5, 23,Off, 21,Off
30/07/2017 8:00:00 PM, 20.0, 23,Off, 21,Off
30/07/2017 7:45:00 PM, 20.0, 23,Off, 21,Off
30/07/2017 7:30:00 PM, 20.0, 23,Off, 21,Off
30/07/2017 7:15:00 PM, 20.0, 23,Off, 21,Off
30/07/2017 7:00:00 PM, 20.0, 23,Off, 21,Off
30/07/2017 6:45:00 PM, 20.0, 23,Off, 21,Off
30/07/2017 6:30:00 PM, 20.5, 23,Off, 21,Off
30/07/2017 6:15:00 PM, 20.5, 23,Off, 21,Off
30/07/2017 6:00:00 PM, 20.5, 23,Off, 21,Off
30/07/2017 5:45:00 PM, 20.5, 23,Off, 21,Off
30/07/2017 5:30:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 5:15:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 5:00:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 4:45:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 4:30:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 4:15:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 4:00:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 3:45:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 3:30:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 3:15:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 3:00:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 2:45:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 2:30:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 2:15:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 2:00:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 1:45:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 1:30:00 PM, 21.5, 23,Off, 21,Off
30/07/2017 1:15:00 PM, 21.0, 23,Off, 21,Off
30/07/2017 1:00:00 PM, 20.5, 23,Off, 21,Off
30/07/2017 12:45:00 PM, 20.5, 23,Off, 21,Off
